title,description,cleaned_text
Mitarbeiter:in Forschung und Entwicklung,"Unterstützung bei der Erstellung von physikalisch basierten Prozessmodellen * Mitarbeit bei der Automation von Produktionsanlagen * Organisation, Durchführung und Auswertung von Versuchen im Labor und an den Produktionsanlagen … Interesse an Programmierung (z.B. Matlab, Mathematica, Python)",unterst tzung bei der erstellung von physikalisch basierten prozessmodellen mitarbeit bei der automation von produktionsanlagen organisation durchf hrung und auswertung von versuchen im labor und den produktionsanlagen interesse programmierung z b matlab mathematica python
Software Developer (w/m/x),"Entwicklung neuer Anwendungen auf verschiedenen Betriebssystemen * Laufende Optimierung bestehender Anwendungen … Sehr gute Kenntnisse und Erfahrungen mit einer oder mehreren Programmiersprachen (Java, C++, C#, JavaScript, Python",entwicklung neuer anwendungen auf verschiedenen betriebssystemen laufende optimierung bestehender anwendungen sehr gute kenntnisse und erfahrungen mit einer oder mehreren programmiersprachen java c c javascript python
(Junior) Cloud Operations Engineer (all genders),"Aufbau, Weiterentwicklung und Monitoring der Azure Cloud-Infrastruktur für einen cloud-nativen Webservice im Finanzdienstleistungssektor * Automatisierung manueller Aufgaben (zB im Bereich Integrationstests, Reporting und Disaster Recovery) … Kenntnisse in SQL, Python, git und Kubernetes von Vorteil",aufbau weiterentwicklung und monitoring der azure cloud infrastruktur f r einen cloud nativen webservice im finanzdienstleistungssektor automatisierung manueller aufgaben zb im bereich integrationstests reporting und disaster recovery kenntnisse sql python git und kubernetes von vorteil
Researcher Medizintechnik (m/w/x),"Anwendungserfahrung und Kompetenz im Bereich statistischer Datenanalyse, ML/AI und damit verbundenen Tools und Libraries (Python, R) … Entwicklung und Evaluierung von Algorithmen und neuen Analyseverfahren mit Schwerpunkt ML/AI",anwendungserfahrung und kompetenz im bereich statistischer datenanalyse ml ai und damit verbundenen tool und library python r entwicklung und evaluierung von algorithmen und neuen analyseverfahren mit schwerpunkt ml ai
DevOps / Linux Systems Engineer (m/w/d),"#yourmission * Du baust als Know-How TrägerIn die skalierbare, robuste und performante cloudbasierten Kundenanlagenlösungen auf * Als Teil eines agilen Teams bist du für die Weiterentwicklung und den Betrieb unserer (Hybrid-) Cloud Architekturen auf Kundenseite zuständig … Umgang mit Shell-Scripting, Python … ",du baust al know tr gerin die skalierbare robuste und performante cloudbasierten kundenanlagenl sungen auf al teil eines agilen team bist du f r die weiterentwicklung und den betrieb unserer hybrid cloud architekturen auf kundenseite zust ndig umgang mit shell scripting python
C++ Toolchain Expert (DevOps Engineer) w/m/d,"Bei der Jungheinrich Systemlösungen GmbH entwickeln wir Lösungen für intelligentes Lagermanagement und prozesssichere Lagerautomation unserer KundInnen -- und … Berufserfahrung in der Verwendung und/oder Administration moderner Tools zur Softwareentwicklung (CI/CD, Git, CMake, gcc, Jenkins, Python",bei der jungheinrich systeml sungen gmbh entwickeln wir l sungen f r intelligentes lagermanagement und prozesssichere lagerautomation unserer kundinnen und berufserfahrung der verwendung und oder administration moderner tool zur softwareentwicklung ci cd git cmake g jenkins python
Web Developer (m/w/d),"ambitionierter Teamplayer * Hochschulabschluss (TU, FH) oder entsprechende Berufserfahrung. * Angular und klassischen Web-Technologien (HTML, CSS, Javascript) kennst du wie deine Westentasche … Backend-Technologien (Java/Spring Framework, Ruby on Rails, Python) sind keine Fremdwörter für dich",ambitionierter teamplayer hochschulabschluss tu fh oder entsprechende berufserfahrung angular und klassischen web technologien html cs javascript kennst du wie deine westentasche backend technologien java spring framework ruby rail python sind keine fremdw rter f r dich
Embedded Software Entwickler (m/w/d) Automotive,"hinzugefügt 15/02/2023 - Du willst deine aktuellen Fähigkeiten einsetzen, ausbauen und weiterentwickeln? Innovatives Unternehmen mit spannenden Entwicklungsperspektiven … Sehr gute Programmierkenntnisse in Python, C/C++ oder Vergleichbares",hinzugef gt du willst deine aktuellen f higkeiten einsetzen ausbauen und weiterentwickeln innovatives unternehmen mit spannenden entwicklungsperspektiven sehr gute programmierkenntnisse python c c oder vergleichbares
Mitarbeiter:in Im Bereich Sicherheits- Und Aufsichtsmanagement In Der Luftfahrtbehörde“,"Wir suchen zur Verstärkung der Abteilung Luftfahrtagentur (LFA) an unserem Standort in Wien eine … gute PC-Anwenderkenntnisse (MS Office, Datenbanken,..), Grundkenntnisse in der Programmierung (z.B. VBA, Python, Excel Makros oder dergleichen) wünschenswert",wir suchen zur verst rkung der abteilung luftfahrtagentur lfa unserem standort wien eine gute pc anwenderkenntnisse m office datenbanken grundkenntnisse der programmierung z b vba python excel makros oder dergleichen w nschenswert
Werkstudent / Studentische Hilfskraft (m/w/d),Sie wirken mit bei der Eingabe von Testfällen und Testspezifikationen in die Toolchain - Sie sind zuständig für das Identifizieren und Suchen von Querverweisen … Sie kümmern sich um die Erstellung von Python-Skripten zur Testunterstützung,sie wirken mit bei der eingabe von testf llen und testspezifikationen die toolchain sie sind zust ndig f r da identifizieren und suchen von querverweisen sie k mmern sich um die erstellung von python skripten zur testunterst tzung
Senior C++ Developer (m/w/d),"3.500 bis € 5.500 Vollzeit 38,5 Std. 40% Homeoffice kleines Team - Wien - Ref.-Nr.: 5249-KW-HP - 15. Februar 2023 - Flache Hierarchien, offene Kommunikation und ein motiviertes Team - Dynamische Unternehmensstruktur und Eigenverantwortung … Mind. Basiswissen von Machine Learning (Tensorflow)",bi vollzeit std homeoffice kleines team wien ref nr kw hp februar flache hierarchien offene kommunikation und ein motiviertes team dynamische unternehmensstruktur und eigenverantwortung mind basiswissen von machine learning tensorflow
