title,description,job_url
Bankstellenleiter:in (m/w/d),Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei. Ganzheitliche Betreuung und professionelle Beratung unserer Kunden - Akquisition von Neukunden und Aufbau neuer langfristiger Kundenbeziehungen … Repräsentation unserer Bank im Einzugsgebiet der Filiale,https://www.metajob.at/dres/jc?p=009190chjnlon2
Assistent:in Digitale Services und Produktmanagement Bank,Projektbegleitung und selbstständige Durchführung von mittelgroßen Projekten - Veranstaltungsplanung und -organisation - Unterstützung bei der Leitung des Vertriebscontrollings - Erstellung von Präsentationen und Moderation von Besprechungen … Berufserfahrung im Bankbereich von Vorteil,https://www.metajob.at/dres/jc?p=00ci85mhhju33i
Junior Revisor für die Bankenprüfung (m/w/d)," … in die Prüfung von Jahres- und Konzernabschlüssen nach lokalen (UGB) und internationalen Rechnungslegungsgrundsätzen (IFRS) im Bankenbereich einzuarbeiten - Hier erlernst du ergänzend die Erstellung von Prüfberichten, Einschätzung von Kreditrisiken und Bonitätseinstufungen, lieferst später auch … ",https://www.metajob.at/dres/jc?p=000a57f5e14ld2
Lehre als Bankkauffrau/Bankkaufmann (w/m/d) - RB Schwechat,"Zum Giebelkreuz eben … Bankstelle Schwechat od. Bankstelle Gramatneusiedl, Start der Lehre: 1. August, Lehrzeit: 3 Jahre Anstellungsart: Vollzeit - DEINE AUFGABEN: MEHR BEWEGEN - Wie dein Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei",https://www.metajob.at/dres/jc?p=002n3brymgzh1l
Servicebetreuer (m/w/d),"Erste Ansprechperson für Kunden - Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und Zahlungsverkehrs - Servicierung der Kunden im Foyer und an den Selbstbedienungsgeräten … Abgeschlossene kaufmännische Ausbildung (Matura oder Banklehre)",https://www.metajob.at/dres/jc?p=000ae32suea4x4
Privatkundenbetreuer (m/w/d),"Betreuung und Beratung zugeordneter Kunden in allen finanziellen Angelegenheiten (Veranlagung, Finanzierung, Konto/Zahlungsverkehr, Versicherungen) … Erste Berufserfahrung in (der Kundenbetreuung) einer Bank sowie abgeschlossene Bankausbildung",https://www.metajob.at/dres/jc?p=000a5vwb0cmesz
Privatkundenbetreuer/in,In Ihrer Position als Privatkundenbetreuer/in sind Sie verantwortlich für einen attraktiven Kundenstock und betreuen diesen in allen finanziellen … Sie erkennen Kundenbedürfnisse und erarbeiten daraus bedarfsgerechte Lösungen,https://www.metajob.at/dres/jc?p=00dm4ty6ooju2p
Kreditmanager/In Firmenkunden,Prüfung und Beurteilung der Kreditanträge - Analyse der wirtschaftlichen Verhältnisse - Kreditbewilligungen im Rahmen der eigenen Kompetenz - Erstellung von Entscheidungsvorlagen und Empfehlung für übergeordnete Gremien … Bei der Hypo Vorarlberg schließen sich Beständigkeit und große Ambitionen nicht aus,https://www.metajob.at/dres/jc?p=000a57f5nb4tlm
Karrierechance: General Banker (m/w/d),Linz - Kontakt ... Tel. +43 732 / 774211-31311 - Online Bewerbung - MY JOB: Matura oder Lehrabschluss in der Tasche und heiß auf den Jobeinstieg? Studium war doch nicht das Richtige? Oder haben Sie genug von Ihrer Branche und Lust auf einen Tapetenwechsel … Bank klingt spannend,https://www.metajob.at/dres/jc?p=000a5vwbrbbcc6
Kaufm. Sachbearbeiter:in Factoring Bank,"Erfassung der angekauften Rechnungen, Buchung von Zahlungseingängen und Abwicklung des Mahnwesens - Bearbeitung von Anfragen unserer Kunden und deren Debitoren - Erster Ansprechpartner bei Fragen zur täglichen Abwicklung - Schnittstelle auch zu anderen Abteilungen unseres Hauses",https://www.metajob.athttps://www.stepstone.at/stellenangebote---20230224120206020---702473-inline.html?cid=MsearchE_metajob___S
Bankstellenleitung (m/w/d),Als Bankstellenleiter:in sind Sie für die operative Führung und Steuerung der Bankstelle verantwortlich. Ihr gesellschaftliches Engagement in der Region stärkt das Vertrauen der Kund:innen. Gemeinsam mit einem engagierten Team bilden Sie die Grundlage für den nachhaltigen Erfolg der Bank,https://www.metajob.at/dres/jc?p=000ae32srzj2gf
Servicekundenbetreuer:in,"Sie beraten Ihre Kundinnen und Kunden in allen Finanzangelegenheiten, speziell in Sachen Wertpapier, Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen",https://www.metajob.at/dres/jc?p=00dm4ty6bo360f
Mitarbeiter im Bankwesen (m/w/d),Telefonische und teilweise auch persönliche Betreuung und Beratung von Kunden - Annahme und Bearbeitung von Wertpapieraufträgen - Bearbeitung der Provisionsabrechnung … Erfahrung im Bankenbereich und Wertpapierkenntnisse wünschenswert,https://www.metajob.at/dres/jc?p=00ci85mhx6reqa
Privatkundenbetreuer:in (m/w/d),"Sie verfügen über eine abgeschlossene kaufmännische Ausbildung auf Maturaniveau. * Sie haben idealerweise die Matura oder eine abgeschlossene Bankausbildung und mehrjährige, einschlägige Erfahrung in der Privatkundenbetreuung",https://www.metajob.at/dres/jc?p=000a5vwbngyypt
Bankstellenleiter*in,"Gesamte Verantwortung für eine erfolgreiche Bankstelle - Ganzheitliche Betreuung der Bestandskunden sowie Verstärkung der Kundenbeziehungen - Gewinnung neuer Kunden und damit Ausbau der Kundenplattform - Qualifizierte Beratung und Vertrieb von Finanzprodukten (Zahlungsverkehr, Finanzierungen, Veranlagungen … ",https://www.metajob.at/dres/jc?p=000a57f5xqlq63
Private Banking Assistant (m/w/d),"Für den Private Banking Bereich im deutschsprachigen Raum wird diese anspruchsvolle und abwechslungsreiche Assistenzfunktion offeriert. Berater*innen im Tagesgeschäft und in der Kundenbetreuung unterstützen - Office Management: Korrespondenz, Terminkoordination und Fristenverwaltung, Dokumentation … ",https://www.metajob.at/dres/jc?p=000bdrqtrml3nf
Private Banking Berater*in, Als eines der führenden Vorarlberger Bankinstitute überzeugt unser Auftraggeber seine Kund*innen seit Jahrzehnten mit innovativen sowie nachhaltigen Lösungen … Am zentral gelegenen Unternehmensstandort im Vorarlberger Rheintal wird das Team im Private Banking verstärkt - Ihre Kompetenz ist gefragt,https://www.metajob.athttp://www.mayer.co.at/offene-stellen/stellenbeschreibung/private-banking-beraterin-25063/
Internship Banking Book Risk Management (all genders),"Location: Vienna - Working-Hours: Full-time - Occupation Area: IT, Financial markets - Company: Erste Group Bank AG - Erste Group was founded in 1819 as the first Austrian savings bank and today it is one of the largest banking groups in Central and Eastern Europe (CEE)",https://www.metajob.at/dres/jc?p=000a4tpmjki9cr
Kontomanager:in,Dienstort: Wien - Arbeitszeitausmaß: Vollzeit - Berufsfeld: Sonstige - Unternehmen: Intermarket Bank AG - Die Intermarket Bank AG der Erste Group ist die Spezialbank für Factoring und Supply Chain Finance der Erste Bank und Sparkassen. Sie betreut rund 400 Kunden der mittelständischen Wirtschaft und Großkunden,https://www.metajob.at/dres/jc?p=00786my9i9jn1o
Assistent:in Vertriebsleitung Bankwesen,Mitwirkung bei der Planung und Koordination der Vertriebs- und Marketingaktivitäten im Geschäftsbereich - Ansprechperson und Unterstützung für die Filialen in administrativen und standortrelevanten Belangen … Qualifizierte kaufmännische Ausbildung (Maturaniveau) und Bankerfahrung,https://www.metajob.athttp://meinjob.at/job/assistentin-vertriebsleitung-bankwesen-12147429
Fachexpert:in Controlling / Gesamtbanksteuerung und Reporting (m/w/d),Sie betreuen die Raiffeisenbanken zur Produkt-/Kundenkalkulation (Management-Erfolgsrechnung) und zum Thema risikoadjustiertes Pricing (Vorkalkulation) - Sie warten die stufenweisen Deckungsbeitragsrechnung und entwickeln sie weiter,https://www.metajob.at/dres/jc?p=009190chwfkg9j
Mitarbeiter Organisation (m/w/d) Core Banking / Applikationen 50-100%,"Du betreust die etablierten bankfachlichen Systeme als Teil eines interdisziplinären, agilen Teams mit - Die Optimierung von Business Prozessen und die Implementierung neuer Systemfunktionalitäten liegt dir … Bankerfahrung ist von Vorteil",https://www.metajob.at/dres/jc?p=000a57f5itgrs3
