title,description,cleaned_text
IT Server & Netzwerkadministration (w/m/d),"So schaffen wir ein völlig neues Niveau des Verkehrsmanagements, das wirklich proaktiv ist. So verwandeln sich unsere Städte in einen Lebensraum, in dem die Menschen freier leben, arbeiten und sich bewegen können, mit besserer Lebensqualität, weniger … Basiskenntnisse IT Security",schaffen wir ein v llig neues niveau de verkehrsmanagements da wirklich proaktiv ist verwandeln sich unsere st dte einen lebensraum dem die menschen freier leben arbeiten und sich bewegen k nnen mit besserer lebensqualit weniger basiskenntnisse security
Full-Stack Entwickler (m/w/d) - Java/Angular,"Entwicklung von Microservices für eine Online-Banking-Plattform in einem Scrum-Team in Zusammenarbeit mit den Kollegen aus der Testabteilung - Native- und Hybrid-App Entwicklung mit Capacitor für sichere Bankgeschäfte auf iOS, Android und im Browser",entwicklung von microservices f r eine online banking plattform einem scrum team zusammenarbeit mit den kollegen au der testabteilung native und hybrid app entwicklung mit capacitor f r sichere bankgesch fte auf io android und im browser
IT Data Engineer (all genders),"Abgeschlossene Ausbildung auf Universitäts- bzw. FH-Niveau (Informatik, Data Science oder vergleichbare Fachrichtungen) bzw. entsprechende Berufserfahrung - Berufserfahrung im Data Science Umfeld wünschenswert sowie Kenntnisse in Azure Cloudtechnologien von Vorteil",abgeschlossene ausbildung auf universit t bzw fh niveau informatik data science oder vergleichbare fachrichtungen bzw entsprechende berufserfahrung berufserfahrung im data science umfeld w nschenswert sowie kenntnisse azure cloudtechnologien von vorteil
C#.NET Developer (m/w/d) - Softwareentwickler C# .NET,"Entwicklung innovativer Softwarelösungen (C#.NET, React, TypeScript) in einer agilen Entwicklungsumgebung * Begleitung des gesamten Softwareentwicklungslebenszyklus von der Anforderungsanalyse bis hin zur Implementierung * Weiterentwicklung und Aufsetzen der Softwarearchitektur und Lösungskonzeption",entwicklung innovativer softwarel sungen c react typescript einer agilen entwicklungsumgebung begleitung de gesamten softwareentwicklungslebenszyklus von der anforderungsanalyse bi hin zur implementierung weiterentwicklung und aufsetzen der softwarearchitektur und l sungskonzeption
"Java Developer (w/m/d) - Fullstack, LFRZ","Sie sind sowohl für die Neu‐ und Weiterentwicklung als auch für die Wartung von Web‐Applikationen und Webservices verantwortlich. Ihr Aufgabengebiet umfasst den gesamten Software‐Development-Lifecycle, vom Entwurf der Software‐Architektur, über Realisierung und (Unit-)Tests bis hin zum … ",sie sind sowohl f r die neu und weiterentwicklung al auch f r die wartung von web applikationen und webservices verantwortlich ihr aufgabengebiet umfasst den gesamten software development lifecycle vom entwurf der software architektur ber realisierung und unit test bi hin zum
IT Cyber Security Expert (w/m/d),"Abgeschlossenes Studium im IT-Bereich (idealerweise mit Schwerpunkt IT- oder Informationssicherheit) - Mehrjährige Erfahrung im Bereich Security Management, IT-Sicherheit oder Netzwerkadministration - Zertifizierungen im Sicherheitsbereich (CISSP, CCSP, OSCP) von Vorteil",abgeschlossenes studium im bereich idealerweise mit schwerpunkt oder informationssicherheit mehrj hrige erfahrung im bereich security management sicherheit oder netzwerkadministration zertifizierungen im sicherheitsbereich cissp sp oscp von vorteil
Information Technology Security Officer (m/w/d),"Aufgrund der ausgezeichneten Unternehmensentwicklung rekrutieren wir Sie zum nächstmöglichen Zeitpunkt für unseren Kunden in Wien als … Referenznummer : AV1938 - Sie planen und setzen Information Security Management Systeme (ISMS) für internationale Kunden um. Sie erstellen Konzepte, Richtlinien sowie … ",aufgrund der ausgezeichneten unternehmensentwicklung rekrutieren wir sie zum n chstm glichen zeitpunkt f r unseren kunden wien al referenznummer av sie planen und setzen information security management systeme ism f r internationale kunden um sie erstellen konzepte richtlinien sowie
IT Java Developer (all genders),"Du entwickelst in einem jungen Team das Online Banking der 3Bankengruppe. Wir, die 3 Banken IT GmbH, verstärken unser Team am Standort Innsbruck und suchen DICH … Professionelle Mitarbeit an IT-Projekten im Bereich Online Banking in unserem Team",du entwickelst einem jungen team da online banking der bankengruppe wir die banken gmbh verst rken unser team standort innsbruck und suchen dich professionelle mitarbeit projekten im bereich online banking unserem team
Full Stack Developer (w/m/d) Java/Spring SAP ABAP/UI5," … als auch für die Wartung von Web-Applikationen und Webservices verantwortlich, welche in Java/Spring(boot) als auch in SAP ABAP/UI5 umzusetzen sind. Ihr Aufgabengebiet umfasst den gesamten Software-Development-Lifecycle, vom Entwurf der Software-Architektur, über Realisierung und (Unit-)Tests bis hin … ",al auch f r die wartung von web applikationen und webservices verantwortlich welche java spring boot al auch sap abap ui umzusetzen sind ihr aufgabengebiet umfasst den gesamten software development lifecycle vom entwurf der software architektur ber realisierung und unit test bi hin
IT SystembetreuerIn / IT AdministratorIn,"Abgeschlossene IT-Ausbildung (HTL, FH, Universität) oder mehrjährige einschlägige Berufserfahrung - Gute Microsoft-Infrastruktur-Kenntnisse (Active Directory, Dateifreigaben, Gruppenrichtlinien, Exchange, Windows Clients & Office Suite, Windows Server)",abgeschlossene ausbildung htl fh universit oder mehrj hrige einschl gige berufserfahrung gute microsoft infrastruktur kenntnisse active directory dateifreigaben gruppenrichtlinien exchange window client office suite window server
